Times,X MHW,Y MHW,MHW Ix,X Crest,Y Crest,Crest Ix,X Toe,Y Toe,Toe Ix,X Heel,Y Heel,Heel Ix,Dune Elevation,Dune Width,Aspect Ratio,Dune Volume,Beach Width,Beach Volume,Overwash Volume,Beach Slope,TWL,Fence Height
0,,,,,,,,,,,,,,,,,,,,,1.8439751767939103,
1,,,,,,,,,,,,,,,,,,,,,1.7499824452298993,
2,,,,,,,,,,,,,,,,,,,,,1.5188038347646382,
3,,,,,,,,,,,,,,,,,,,,,1.0190313171146237,
4,,,,,,,,,,,,,,,,,,,,,0.6523103219141488,
5,,,,,,,,,,,,,,,,,,,,,0.4127886509292998,
6,,,,,,,,,,,,,,,,,,,,,0.2983141482737497,
7,,,,,,,,,,,,,,,,,,,,,0.39269601312202446,
8,,,,,,,,,,,,,,,,,,,,,0.6432798225097661,
9,,,,,,,,,,,,,,,,,,,,,1.1254137524719272,
10,,,,,,,,,,,,,,,,,,,,,1.6516020470734147,
11,,,,,,,,,,,,,,,,,,,,,1.7762139282700333,
12,,,,,,,,,,,,,,,,,,,,,1.9902898961249622,
13,,,,,,,,,,,,,,,,,,,,,1.9171475016616297,
14,,,,,,,,,,,,,,,,,,,,,1.5330060047403262,
15,,,,,,,,,,,,,,,,,,,,,1.0802101040772822,
16,,,,,,,,,,,,,,,,,,,,,0.6754758996825178,
17,,,,,,,,,,,,,,,,,,,,,0.4512772076698566,
18,,,,,,,,,,,,,,,,,,,,,0.2188106276202725,
19,,,,,,,,,,,,,,,,,,,,,0.1694302981673616,
20,,,,,,,,,,,,,,,,,,,,,0.2818662183975693,
21,,,,,,,,,,,,,,,,,,,,,0.5919682200395888,
22,,,,,,,,,,,,,,,,,,,,,0.9348450466439636,
23,,,,,,,,,,,,,,,,,,,,,1.2587519439467156,
24,,,,,,,,,,,,,,,,,,,,,1.9955102614817464,
25,,,,,,,,,,,,,,,,,,,,,1.6428713246534843,
26,,,,,,,,,,,,,,,,,,,,,1.9796743731917936,
27,,,,,,,,,,,,,,,,,,,,,1.0526669163267852,
28,,,,,,,,,,,,,,,,,,,,,0.7037162661108669,
29,,,,,,,,,,,,,,,,,,,,,0.44009347934079324,
30,,,,,,,,,,,,,,,,,,,,,0.1649714283385911,
31,,,,,,,,,,,,,,,,,,,,,0.13063759414538118,
32,,,,,,,,,,,,,,,,,,,,,0.2179549404832308,
33,,,,,,,,,,,,,,,,,,,,,0.4863459670669976,
34,,,,,,,,,,,,,,,,,,,,,0.939552885298599,
35,,,,,,,,,,,,,,,,,,,,,1.2813463832145637,
36,,,,,,,,,,,,,,,,,,,,,1.663321464827388,
37,,,,,,,,,,,,,,,,,,,,,1.9943606374416598,
38,,,,,,,,,,,,,,,,,,,,,1.6899302876691384,
39,,,,,,,,,,,,,,,,,,,,,1.608163953032043,
40,,,,,,,,,,,,,,,,,,,,,1.1465763838986243,
41,,,,,,,,,,,,,,,,,,,,,0.9161930212406826,
42,,,,,,,,,,,,,,,,,,,,,0.634974667809626,
43,,,,,,,,,,,,,,,,,,,,,0.40446562570543726,
44,,,,,,,,,,,,,,,,,,,,,0.3508271981425222,
45,,,,,,,,,,,,,,,,,,,,,0.6842478881499536,
46,,,,,,,,,,,,,,,,,,,,,1.4043723954701046,
47,,,,,,,,,,,,,,,,,,,,,1.6974560402240881,
48,,,,,,,,,,,,,,,,,,,,,2.0425834156386546,
49,,,,,,,,,,,,,,,,,,,,,2.2257219091727483,
50,,,,,,,,,,,,,,,,,,,,,1.9866458793461077,
51,,,,,,,,,,,,,,,,,,,,,1.8377490067965203,
52,,,,,,,,,,,,,,,,,,,,,1.5088348760203927,
53,,,,,,,,,,,,,,,,,,,,,0.9868021661588487,
54,,,,,,,,,,,,,,,,,,,,,0.6828332070804553,
55,,,,,,,,,,,,,,,,,,,,,0.4185017204569101,
56,,,,,,,,,,,,,,,,,,,,,0.4423964022960612,
57,,,,,,,,,,,,,,,,,,,,,0.6708604084392601,
58,,,,,,,,,,,,,,,,,,,,,0.973503453712094,
59,,,,,,,,,,,,,,,,,,,,,1.3648038761838053,
60,,,,,,,,,,,,,,,,,,,,,0.9854619392831152,
